Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Source_Playlist,Artist1,Artist2,Artist3,Artist4,Artist5,Artist6
spotify:track:3gYvjy4myWUq8vVSZrqXKx,BLADE RUNNER,Four Seasons One Climate,"USCHIHA,BAXV",2023-07-21,195749,0,True,o521z02pw23ivep6jemptk48g,2023-10-01T15:04:22Z,arabic hip hop,AUTOBAHN MUSIC,0.585,0.381,7,-8.386,1,0.0561,0.00616,0.112,0.37,0.207,158.068,4,2k23,USCHIHA,BAXV,,,,
spotify:track:5wIa2l7uAlQOvLQx10HDWO,Fuck Wit Me,Bag Talk,"Pink Siifu,YUNGMORPHEUS,VRITRA",2020-01-13,275483,0,True,o521z02pw23ivep6jemptk48g,2023-10-01T17:06:44Z,experimental hip hop,Field-Left,0.806,0.412,10,-13.653,1,0.339,0.333,1.87e-05,0.137,0.737,117.832,4,2k23,Pink Siifu,YUNGMORPHEUS,VRITRA,,,
spotify:track:1hPsLNRUcEW6B1spTAlSoS,90377 SEDNA,Gen Z,"$MXTI,Cheb terro",2022-01-07,132076,0,True,o521z02pw23ivep6jemptk48g,2023-10-01T17:24:22Z,arabic hip hop,AUTOBAHN MUSIC,0.631,0.361,2,-10.322,1,0.0924,0.655,0.000661,0.391,0.061,81.046,4,2k23,$MXTI,Cheb terro,,,,
spotify:track:0iF9VGjhm3GsEFsxu2pRCY,MOONLIGHT,METRO EL RAP FM (Deluxe),"SAFFWIZZ,Defame,Icxn",2023-10-01,233042,11,False,o521z02pw23ivep6jemptk48g,2023-11-06T12:27:50Z,"arabic hip hop,moroccan rap,egyptian hip hop",Bloc C Records,0.718,0.779,7,-6.009,0,0.0577,0.547,3.4e-06,0.822,0.444,98.018,4,2k23,SAFFWIZZ,Defame,Icxn,,,
spotify:track:2zmIUuLFOwsCVr1tFEDzF8,Toxicity,GOOD KID TOXIC CITY.,XIIVI,2022-01-09,117446,0,True,o521z02pw23ivep6jemptk48g,2023-11-12T13:48:31Z,arabic hip hop,XIIVI,0.611,0.503,11,-9.225,0,0.349,0.222,0.0,0.082,0.665,136.873,4,2k23,XIIVI,,,,,
spotify:track:4CT3rpYCwN0CPkPGYIC0Ww,Baba Lakorza Lant5a,Baba Lakorza Lant5a,"MARROUKI,HTB",2023-09-01,175670,0,True,o521z02pw23ivep6jemptk48g,2023-12-25T13:43:49Z,,AUTOBAHN MUSIC,0.778,0.549,7,-11.008,1,0.397,0.303,0.0,0.482,0.643,82.002,4,2k23,MARROUKI,HTB,,,,
spotify:track:5z7WY3S3RLJpcwuZdNmS1y,Malla La3b,Waves,SAFFWIZZ,2021-07-23,158888,8,True,o521z02pw23ivep6jemptk48g,2024-01-04T15:17:44Z,"arabic hip hop,moroccan rap",Bloc C Records,0.866,0.658,8,-8.915,1,0.239,0.0205,0.0,0.436,0.745,144.966,4,2k23,SAFFWIZZ,,,,,
spotify:track:19PbWvqAkwJlhqwampo5zc,Ray Mysterio,Hall & Nash 2,"Westside Gunn,Conway the Machine,The Alchemist",2023-12-29,203506,40,True,o521z02pw23ivep6jemptk48g,2024-01-04T22:43:25Z,"boom bap,alternative hip hop,jazz rap,east coast hip hop,experimental hip hop",ALC,0.692,0.807,1,-5.634,1,0.251,0.569,0.0,0.811,0.707,132.205,4,2k23,Westside Gunn,Conway the Machine,The Alchemist,,,
spotify:track:532dcSo8ZGjxQwM2C3usPO,New Thangs,Fetti,"Curren$y,Freddie Gibbs,The Alchemist",2018-10-31,143760,51,True,o521z02pw23ivep6jemptk48g,2024-01-04T23:40:31Z,"southern hip hop,alternative hip hop,jazz rap,experimental hip hop,boom bap",ESGN / Jet Life Recordings / ALC / EMPIRE,0.595,0.555,10,-9.227,0,0.198,0.377,0.0,0.2,0.742,78.558,4,2k23,Curren$y,Freddie Gibbs,The Alchemist,,,
spotify:track:09kYuK9gLUai92QYwsrU49,Vin Skully,VOIR DIRE,"Earl Sweatshirt,The Alchemist",2023-10-06,113186,56,True,o521z02pw23ivep6jemptk48g,2024-01-04T23:44:34Z,"experimental hip hop,alternative hip hop,jazz rap,boom bap",Warner Records,0.591,0.39,6,-11.926,1,0.235,0.404,1.17e-05,0.453,0.787,75.847,4,2k23,Earl Sweatshirt,The Alchemist,,,,
spotify:track:4G9UWf15dYemFOWjAKAR9C,Verse Ahlem,EASTCOASTSTORY: lifestyles,COSMIC,2021-09-08,254020,17,True,o521z02pw23ivep6jemptk48g,2024-01-21T17:29:42Z,"arabic hip hop,moroccan rap",Cosmic,0.366,0.316,7,-11.344,0,0.0992,0.111,2.36e-06,0.102,0.206,80.298,4,2k23,COSMIC,,,,,
spotify:track:2NP1bo7cim3NK8MvYockG5,Moment Of Clarity,Moment Of Clarity,"Rowlan,Jon Connor,Katori Walker",2023-07-14,226058,23,True,o521z02pw23ivep6jemptk48g,2024-01-30T12:07:46Z,,Watermelon Wecords,0.508,0.473,10,-12.702,0,0.349,0.562,0.0,0.108,0.568,77.484,1,2k23,Rowlan,Jon Connor,Katori Walker,,,
spotify:track:6onQcGighvti0OnOEmQIGa,Ka7la Stella,Ka7la Stella,BAXV,2021-09-29,159613,13,True,,1970-01-01T00:00:00Z,arabic hip hop,TBRL,0.824,0.235,7,-17.587,1,0.0899,0.219,0.00414,0.15,0.0886,109.963,4,baxv_radio,BAXV,,,,,
spotify:track:3gPIgbB5Rms4urL87b3pbp,Fatale,APOLLO,"Wingz,XIIVI,Kiev",2024-08-08,149570,29,True,,1970-01-01T00:00:00Z,"arabic hip hop,moroccan rap",Pas Comme Eux Records,0.69,0.599,2,-9.254,1,0.0958,0.0888,9.74e-05,0.305,0.306,78.995,4,baxv_radio,Wingz,XIIVI,Kiev,,,
spotify:track:0Ngm6ryBYSELtrhllSWq3R,تالابيب,تالابيب,Cheb terro,2024-04-10,110968,24,True,,1970-01-01T00:00:00Z,arabic hip hop,Toxic Club,0.867,0.603,1,-7.839,1,0.171,0.227,0.0,0.116,0.471,128.569,4,baxv_radio,Cheb terro,,,,,
spotify:track:1xF6LfTbcd0SE2NuASvIUH,U Lie,Lahmer Album,G.G.A,2015-11-01,202777,15,True,,1970-01-01T00:00:00Z,arabic hip hop,Red Label,0.576,0.468,2,-12.444,1,0.331,0.102,0.147,0.0544,0.197,108.019,4,baxv_radio,G.G.A,,,,,
spotify:track:68EQFgo6lPgqYUa3I14El5,Fusion,Fusion,"KHLNZYY,BAXV",2023-03-10,151682,15,True,,1970-01-01T00:00:00Z,arabic hip hop,TBRL,0.942,0.449,8,-8.871,1,0.356,0.35,0.0,0.138,0.398,124.046,4,baxv_radio,KHLNZYY,BAXV,,,,
spotify:track:1Unt4D9zrnXdPPoCoBK84Q,9atli Le Mazel,Soda,BAXV,2022-04-11,103700,13,True,,1970-01-01T00:00:00Z,arabic hip hop,TBRL,0.843,0.41,0,-9.787,1,0.123,0.0506,0.0,0.118,0.252,120.064,4,baxv_radio,BAXV,,,,,
spotify:track:3Vo8OZHXkSd7Nipv09RRvv,Ghara9,Ghara9,"FIN,XIIVI",2024-07-19,206817,18,True,,1970-01-01T00:00:00Z,arabic hip hop,FIN,0.561,0.666,6,-5.415,0,0.13,0.824,1.96e-06,0.118,0.337,130.136,4,baxv_radio,FIN,XIIVI,,,,
