track_name,album_name,artist,all_artists,source_playlist,popularity,danceability,energy,tempo
METROCK,METRO EL RAP,Halim yousfi,"SAFFWIZZ, Halim yousfi, Kyng Hooper",2k23,7,0.651,0.657,191.973
METROCK,METRO EL RAP,Kyng Hooper,"SAFFWIZZ, Halim yousfi, Kyng Hooper",2k23,7,0.651,0.657,191.973
Sekkon Chance,METRO EL RAP,SAFFWIZZ,"SAFFWIZZ, Koast, Naqqa, Ratchopper",2k23,21,0.787,0.728,75.994
Sekkon Chance,METRO EL RAP,Koast,"SAFFWIZZ, Koast, Naqqa, Ratchopper",2k23,21,0.787,0.728,75.994
Sekkon Chance,METRO EL RAP,Naqqa,"SAFFWIZZ, Koast, Naqqa, Ratchopper",2k23,21,0.787,0.728,75.994
Sekkon Chance,METRO EL RAP,Ratchopper,"SAFFWIZZ, Koast, Naqqa, Ratchopper",2k23,21,0.787,0.728,75.994
Ok Nivam,Ghost,BAXV,"BAXV, XIIVI",2k23,0,0.755,0.59,156.028
Ok Nivam,Ghost,XIIVI,"BAXV, XIIVI",2k23,0,0.755,0.59,156.028
Rolls Royce Break Lights,Reasonable Drought,Stove God Cooks,"Stove God Cooks, Roc Marciano",2k23,40,0.513,0.738,122.57
Rolls Royce Break Lights,Reasonable Drought,Roc Marciano,"Stove God Cooks, Roc Marciano",2k23,40,0.513,0.738,122.57
Diamond Dallas,Bo Jackson,Boldy James,"Boldy James, The Alchemist, Stove God Cooks",2k23,37,0.546,0.455,143.202
Diamond Dallas,Bo Jackson,The Alchemist,"Boldy James, The Alchemist, Stove God Cooks",2k23,37,0.546,0.455,143.202
Diamond Dallas,Bo Jackson,Stove God Cooks,"Boldy James, The Alchemist, Stove God Cooks",2k23,37,0.546,0.455,143.202
All Mah N***,All Mah N***,Tabac Roule,"Tabac Roule, XIIVI, It's ERROR",2k23,0,0.633,0.871,77.456
All Mah N***,All Mah N***,XIIVI,"Tabac Roule, XIIVI, It's ERROR",2k23,0,0.633,0.871,77.456
All Mah N***,All Mah N***,It's ERROR,"Tabac Roule, XIIVI, It's ERROR",2k23,0,0.633,0.871,77.456
Black Mask,COLLECTION OF CHEB TERRO X DJ HRIZEN,DJ Hrizen,"DJ Hrizen, Cheb terro",2k23,17,0.92,0.36,144.985
Black Mask,COLLECTION OF CHEB TERRO X DJ HRIZEN,Cheb terro,"DJ Hrizen, Cheb terro",2k23,17,0.92,0.36,144.985
Heart On Froze,KISS THE RING,Rome Streetz,Rome Streetz,2k23,41,0.572,0.685,91.37
CERTAINDEATH,COLLECTION OF CHEB TERRO X DJ HRIZEN,DJ Hrizen,"DJ Hrizen, Cheb terro",2k23,8,0.893,0.42,119.977
CERTAINDEATH,COLLECTION OF CHEB TERRO X DJ HRIZEN,Cheb terro,"DJ Hrizen, Cheb terro",2k23,8,0.893,0.42,119.977
A.L.a (Asshole),Mixtape: 7 Days,Zomra A.L.a,Zomra A.L.a,2k23,0,0.876,0.454,120.001
STEVE AUSTIN'S HEART MEDUSA'S EYES,FUCK THE KID .. AND THE CITY,XIIVI,XIIVI,2k23,0,0.702,0.499,104.337
AL TASMIYAH,FUCK THE KID .. AND THE CITY,XIIVI,XIIVI,2k23,0,0.794,0.331,129.915
Nigga Who Cares ?,INFAMOUS,Wingz,"Wingz, XIIVI",2k23,0,0.921,0.567,129.927
Nigga Who Cares ?,INFAMOUS,XIIVI,"Wingz, XIIVI",2k23,0,0.921,0.567,129.927
Babylon By Bus,Maps,billy woods,"billy woods, Kenny Segal, ShrapKnel",2k23,36,0.769,0.61,89.539
Babylon By Bus,Maps,Kenny Segal,"billy woods, Kenny Segal, ShrapKnel",2k23,36,0.769,0.61,89.539
Babylon By Bus,Maps,ShrapKnel,"billy woods, Kenny Segal, ShrapKnel",2k23,36,0.769,0.61,89.539
Pink Magic - Hamdi Ryder Tribute Remix,Tribute To Cheb Terro / Pink Magic,Cheb terro,"Cheb terro, Ratchopper, Hamdi Ryder",2k23,0,0.651,0.888,139.996
Pink Magic - Hamdi Ryder Tribute Remix,Tribute To Cheb Terro / Pink Magic,Ratchopper,"Cheb terro, Ratchopper, Hamdi Ryder",2k23,0,0.651,0.888,139.996
Pink Magic - Hamdi Ryder Tribute Remix,Tribute To Cheb Terro / Pink Magic,Hamdi Ryder,"Cheb terro, Ratchopper, Hamdi Ryder",2k23,0,0.651,0.888,139.996
JIMMY,No Doubt II,Ktyb,"Ktyb, Feddini",2k23,8,0.781,0.485,80.058
JIMMY,No Doubt II,Feddini,"Ktyb, Feddini",2k23,8,0.781,0.485,80.058
FOREVER,No Doubt II,Ktyb,"Ktyb, Feddini",2k23,9,0.469,0.665,177.908
FOREVER,No Doubt II,Feddini,"Ktyb, Feddini",2k23,9,0.469,0.665,177.908
SHADOW BOXING,1.6,TIF,TIF,2k23,56,0.547,0.672,100.791
S12,1.6,TIF,"TIF, Flenn",2k23,47,0.627,0.469,126.955
S12,1.6,Flenn,"TIF, Flenn",2k23,47,0.627,0.469,126.955
AMNESIA,1.6,TIF,TIF,2k23,60,0.792,0.392,119.983
HINATA,1.6,TIF,TIF,2k23,60,0.836,0.519,114.974
SOUFFLÉ,No Doubt II,Ktyb,"Ktyb, Feddini",2k23,21,0.526,0.48,86.555
SOUFFLÉ,No Doubt II,Feddini,"Ktyb, Feddini",2k23,21,0.526,0.48,86.555
Toda una Vida,Contigo En La Distancia,Pedro Guerra,Pedro Guerra,2k23,52,0.731,0.156,118.562
Embiid,Mixtape Vol. 2,Ktyb,Ktyb,2k23,23,0.662,0.598,92.293
Ymanny Manny,Ymanny Manny,Katybon,Katybon,2k23,25,0.647,0.398,84.973
FLDY,No Doubt II,Ktyb,"Ktyb, Feddini",2k23,9,0.692,0.66,142.993
FLDY,No Doubt II,Feddini,"Ktyb, Feddini",2k23,9,0.692,0.66,142.993
HEISENBERG.,No Doubt II,Ktyb,"Ktyb, Feddini",2k23,11,0.648,0.659,163.988
HEISENBERG.,No Doubt II,Feddini,"Ktyb, Feddini",2k23,11,0.648,0.659,163.988
Die Hard,Ghost,BAXV,BAXV,2k23,0,0.624,0.53,75.59
Kids Do Drugs,Odyssey (odd to see),BAXV,BAXV,2k23,0,0.795,0.506,125.046
05:01 AM,05:01 AM,XIIVI,"XIIVI, 20fyee, Pas Comme Eux",2k23,0,0.619,0.449,126.841
05:01 AM,05:01 AM,20fyee,"XIIVI, 20fyee, Pas Comme Eux",2k23,0,0.619,0.449,126.841
05:01 AM,05:01 AM,Pas Comme Eux,"XIIVI, 20fyee, Pas Comme Eux",2k23,0,0.619,0.449,126.841
9atli Le Mazel,SODA,BAXV,BAXV,2k23,0,0.843,0.41,120.064
BLADE RUNNER,Four Seasons One Climate,USCHIHA,"USCHIHA, BAXV",2k23,0,0.585,0.381,158.068
BLADE RUNNER,Four Seasons One Climate,BAXV,"USCHIHA, BAXV",2k23,0,0.585,0.381,158.068
Fuck Wit Me,Bag Talk,Pink Siifu,"Pink Siifu, YUNGMORPHEUS, VRITRA",2k23,0,0.806,0.412,117.832
Fuck Wit Me,Bag Talk,YUNGMORPHEUS,"Pink Siifu, YUNGMORPHEUS, VRITRA",2k23,0,0.806,0.412,117.832
Fuck Wit Me,Bag Talk,VRITRA,"Pink Siifu, YUNGMORPHEUS, VRITRA",2k23,0,0.806,0.412,117.832
90377 SEDNA,Gen Z,$MXTI,"$MXTI, Cheb terro",2k23,0,0.631,0.361,81.046
90377 SEDNA,Gen Z,Cheb terro,"$MXTI, Cheb terro",2k23,0,0.631,0.361,81.046
MOONLIGHT,METRO EL RAP FM (Deluxe),SAFFWIZZ,"SAFFWIZZ, Defame, Icxn",2k23,11,0.718,0.779,98.018
MOONLIGHT,METRO EL RAP FM (Deluxe),Defame,"SAFFWIZZ, Defame, Icxn",2k23,11,0.718,0.779,98.018
MOONLIGHT,METRO EL RAP FM (Deluxe),Icxn,"SAFFWIZZ, Defame, Icxn",2k23,11,0.718,0.779,98.018
Toxicity,GOOD KID TOXIC CITY.,XIIVI,XIIVI,2k23,0,0.611,0.503,136.873
Baba Lakorza Lant5a,Baba Lakorza Lant5a,MARROUKI,"MARROUKI, HTB",2k23,0,0.778,0.549,82.002
Baba Lakorza Lant5a,Baba Lakorza Lant5a,HTB,"MARROUKI, HTB",2k23,0,0.778,0.549,82.002
Malla La3b,Waves,SAFFWIZZ,SAFFWIZZ,2k23,8,0.866,0.658,144.966
Ray Mysterio,Hall & Nash 2,Westside Gunn,"Westside Gunn, Conway the Machine, The Alchemist",2k23,40,0.692,0.807,132.205
Ray Mysterio,Hall & Nash 2,Conway the Machine,"Westside Gunn, Conway the Machine, The Alchemist",2k23,40,0.692,0.807,132.205
Ray Mysterio,Hall & Nash 2,The Alchemist,"Westside Gunn, Conway the Machine, The Alchemist",2k23,40,0.692,0.807,132.205
New Thangs,Fetti,Curren$y,"Curren$y, Freddie Gibbs, The Alchemist",2k23,51,0.595,0.555,78.558
New Thangs,Fetti,Freddie Gibbs,"Curren$y, Freddie Gibbs, The Alchemist",2k23,51,0.595,0.555,78.558
New Thangs,Fetti,The Alchemist,"Curren$y, Freddie Gibbs, The Alchemist",2k23,51,0.595,0.555,78.558
Vin Skully,VOIR DIRE,Earl Sweatshirt,"Earl Sweatshirt, The Alchemist",2k23,56,0.591,0.39,75.847
Vin Skully,VOIR DIRE,The Alchemist,"Earl Sweatshirt, The Alchemist",2k23,56,0.591,0.39,75.847
Verse Ahlem,EASTCOASTSTORY: lifestyles,COSMIC,COSMIC,2k23,17,0.366,0.316,80.298
Moment Of Clarity,Moment Of Clarity,Rowlan,"Rowlan, Jon Connor, Katori Walker",2k23,23,0.508,0.473,77.484
Moment Of Clarity,Moment Of Clarity,Jon Connor,"Rowlan, Jon Connor, Katori Walker",2k23,23,0.508,0.473,77.484
Moment Of Clarity,Moment Of Clarity,Katori Walker,"Rowlan, Jon Connor, Katori Walker",2k23,23,0.508,0.473,77.484
Ka7la Stella,Ka7la Stella,BAXV,BAXV,baxv_radio,13,0.824,0.235,109.963
Fatale,APOLLO,Wingz,"Wingz, XIIVI, Kiev",baxv_radio,29,0.69,0.599,78.995
Fatale,APOLLO,XIIVI,"Wingz, XIIVI, Kiev",baxv_radio,29,0.69,0.599,78.995
Fatale,APOLLO,Kiev,"Wingz, XIIVI, Kiev",baxv_radio,29,0.69,0.599,78.995
تالابيب,تالابيب,Cheb terro,Cheb terro,baxv_radio,24,0.867,0.603,128.569
