artist,popularity_mean,popularity_count,danceability_mean,energy_mean,tempo_mean,popularity_cluster,danceability_cluster,energy_cluster
Mizo-H,15.4,5,0.858,0.6648,127.1066,Very Low,High Dance,Medium Energy
Mortadha Ftiti,34.333333333333336,3,0.593,0.594,108.96466666666667,Medium,Medium Dance,Medium Energy
Mouka,31.5,2,0.6859999999999999,0.4505,115.30799999999999,Low,Medium Dance,Medium Energy
Myne,18.0,1,0.668,0.423,147.946,Low,Medium Dance,Medium Energy
MystikGod,20.0,1,0.718,0.739,81.99,Low,Medium Dance,High Energy
NAD,2.0,1,0.829,0.677,100.015,Very Low,High Dance,High Energy
NASTYSH!!T,20.0,1,0.832,0.728,115.001,Low,High Dance,High Energy
NORDO,9.5,4,0.65,0.59425,146.62175000000002,Very Low,Medium Dance,Medium Energy
NVST,5.0,1,0.63,0.244,169.902,Very Low,Medium Dance,Low Energy
Na$s 2y2,16.0,1,0.691,0.361,109.955,Very Low,Medium Dance,Low Energy
Namiro,5.5,2,0.559,0.699,93.93549999999999,Very Low,Medium Dance,High Energy
Naqqa,28.333333333333332,3,0.786,0.5376666666666666,86.16266666666667,Low,High Dance,Medium Energy
Neima Ezza,44.0,1,0.829,0.565,141.881,Medium,High Dance,Medium Energy
No ID,41.0,1,0.661,0.589,85.535,Medium,Medium Dance,Medium Energy
Noor Arjoun,37.0,1,0.723,0.604,122.015,Medium,Medium Dance,Medium Energy
NumbXiller,42.0,1,0.841,0.487,99.993,Medium,High Dance,Medium Energy
OXYJHIN,8.833333333333334,6,0.735,0.31816666666666665,123.30616666666667,Very Low,Medium Dance,Low Energy
OhSlim,1.0,3,0.627,0.5213333333333333,128.84466666666665,Very Low,Medium Dance,Medium Energy
Omara,4.578947368421052,19,0.6893684210526315,0.601,113.38773684210527,Very Low,Medium Dance,Medium Energy
Onda Vaga,44.0,1,0.733,0.4,86.044,Medium,Medium Dance,Medium Energy
Pas Comme Eux,2.5625,16,0.6435,0.5313125,114.7266875,Very Low,Medium Dance,Medium Energy
Pazaman,24.0,1,0.425,0.591,81.913,Low,Low Dance,Medium Energy
Pedro Guerra,52.0,1,0.731,0.156,118.562,High,Medium Dance,Low Energy
Pink Siifu,0.0,1,0.806,0.412,117.832,Very Low,High Dance,Medium Energy
Pureconic,5.5,4,0.81675,0.52175,137.084,Very Low,High Dance,Medium Energy
R2LF5,12.0,2,0.571,0.4145,117.978,Very Low,Medium Dance,Medium Energy
RARE,5.333333333333333,6,0.6976666666666667,0.7045,130.05066666666667,Very Low,Medium Dance,High Energy
